against  bertentangan 	 
frog ; toad ; toad frog ; anuran ; batrachian ; salientian 	 katak 	 

Moscow ; capital of the Russian Federation ; Russian capital  Moskwa 	 city 
New York ; New York City ; Greater New York  New York City 
Rome ; Roma ; Eternal City ; Italian capital ; capital of Italy 	 Roma 	 city 
Arctic Ocean 	 Samudra Arktik  grammar  tata bahasa 
periodic table  tabel periodik  
crocodile  buaya 	 

Mauritania ; Islamic Republic of Mauritania ; Mauritanie ; Muritaniya 	 Mauritania 
Madrid ; capital of Spain ; Spanish capital  Madrid 	 city  Amsterdam ; Dutch capital ; capital of The Netherlands  Amsterdam  

Suriname ; Republic of Suriname ; Surinam ; Dutch Guiana ; Netherlands Guiana 	 Suriname  state 
poetry ; poesy ; verse 	 puisi  deer ; cervid  rusa 	 

Tajikistan ; Republic of Tajikistan ; Tadzhikistan ; Tadzhik ; Tadjik ; Tajik 	 Tajikistan  state 
piano ; pianoforte ; forte-piano  piano 
triangle ; trigon ; trilateral 	 segitiga  
genetics ; genetic science  genetika  genetics 
Turkmenistan ; Turkomen ; Turkmen ; Turkmenia  Turkmenistan 	 state  electron ; negatron  elektron  

; phytology 	 botani 	 biology  nature 	 alam 	 

Frankfurt on the Main ; Frankfurt ; Frankfort  Frankfurt am Main  flower ; bloom ; blossom 	 bunga 	 biology 
Guatemala ; Republic of Guatemala  Guatemala  state  Laos ; Lao People's Democratic Republic  laos 	 state  electronics 	 elektronika  eight ; 8 ; viii 	 delapan  Madagascar 	 Madagaskar 
logic 	 logika 
Columbus ; Christopher Columbus ; Cristoforo Colombo ; Cristobal Colon 	 
Christopher Columbus  person 
World War I ; World War 1 ; Great War ; First World War ; War to End War  
Perang Dunia I 
Nile ; Nile River 	 Sungai Nil  ethics ; moral philosophy  etika 	 law 
Liechtenstein ; Principality of Liechtenstein  Liechtenstein 
Beijing ; Peking ; Peiping ; capital of Red China  Beijing  

Castro ; Fidel Castro ; Fidel Castro Ruz 	 Fidel Castro  ten ; 10 ; x 	 sepuluh 
actor ; histrion ; player ; thespian ; role player  pemain 	 

Togo ; Togolese Republic 	 Togo 	 state 
Guinea ; Republic of Guinea ; French Guinea  Guinea 	 state  thousand ; one thousand ; 1000 ; M ; K ; chiliad ; G ; grand ; thou ; yard  seribu 	 

basketball ; basketball game ; hoops 	 bola basket 	 sports  helium ; He ; atomic number 2 	 helium 	 
patriotism ; nationalism 	 nasionalisme 
Shakespeare ; William Shakespeare ; Shakspere ; William Shakspere ; Bard of Avon  
William Shakespeare 	 person 
Congo ; Democratic Republic of the Congo ; Zaire ; Belgian Congo 	 Republik 
Demokratik Kongo  state 
speed ; velocity 	 kecepatan  

Guinea-Bissau ; Republic of Guinea-Bissau ; Guine-Bissau ; Portuguese Guinea 	 
Guinea-Bissau 	 state 
Kyrgyzstan ; Kyrgyz Republic ; Kirghizia ; Kirgizia ; Kirghiz ; Kirgiz ; 
Kirghizstan ; Kirgizstan 	 Kirgizstan 
Cape Verde ; Republic of Cape Verde 	 Tanjung Verde 
Chicago ; Windy City  Chicago  city  Nobel prize 	 Penghargaan Nobel  mythology  mitologi  Hong Kong  Hong Kong 
cemetery ; graveyard ; burial site ; burial ground ; burying ground ; memorial park ; necropolis 	 kuburan  Texas ; Lone-Star State ; TX 	 Texas 
Greenland ; Gronland ; Kalaallit Nunaat  Greenland  Esperanto  Bahasa Esperanto 	 language  game 	 permainan  mathematics 
Brunei ; Negara Brunei Darussalam  Brunei 
Alabama ; Heart of Dixie ; Camellia State ; AL 	 Alabama 
Judaism  Agama Yahudi 
Cairo ; Al Qahira ; El Qahira ; Egyptian capital ; capital of Egypt  Kairo 	 city 
storm ; violent storm  badai 	 meteorology  fox  rubah 	 

Christmas ; Christmas Day ; Xmas ; Dec 25 	 Natal 
Sierra Leone ; Republic of Sierra Leone  Sierra Leone 
Bangkok ; capital of Thailand ; Krung Thep 	 Bangkok  city 
Gandhi ; Mahatma Gandhi ; Mohandas Karamchand Gandhi 	 Mahatma Gandhi  person 
embassy  kedutaan 
engineering ; engineering science ; applied science ; technology 	 teknik 	 

Caesar ; Julius Caesar ; Gaius Julius Caesar  Julius Caesar 
Uranus 	 Uranus 	 astronomy 
Scandinavia 	 Skandinavia 
Gregorian calendar ; New Style calendar  Kalender Gregorian  AIDS ; acquired immune deficiency syndrome 	 AIDS  kidney 	 ginjal 	 biology 
Jamaica  Jamaika 
Israel ; State of Israel ; Yisrael ; Zion ; Sion 	 Israel 	 state 
Lesotho ; Kingdom of Lesotho ; Basutoland 	 Lesotho  proton 	 proton 	 

deoxyribonucleic acid ; desoxyribonucleic acid ; DNA 	 asam deoksiribonukleat  genetics 
angel 	 malaikat 
Lenin ; Vladimir Lenin ; Nikolai Lenin ; Vladimir Ilyich Lenin ; Vladimir Ilich Lenin ; Vladimir Ilyich Ulyanov ; Vladimir Ilich Ulyanov  Vladimir Lenin  person 
large ; big 	 besar 	 

Belize ; British Honduras  Belize 
Lisbon ; Lisboa ; capital of Portugal  Lisbon 	 city 
Los Angeles ; City of the Angels  Los Angeles  meteorology 	 meteorologi 
Plato 	 Plato 
French Revolution 	 Revolusi Perancis 
zinc ; Zn ; atomic number 30 	 seng 	 

Guyana ; Co-operative Republic of Guyana ; British Guiana 	 Guyana 	 state  carrot ; cultivated carrot ; Daucus carota sativa  wortel 	 

Stockholm ; capital of Sweden 	 Stockholm  city  mineral  mineral 
Hinduism ; Hindooism  Hindu 
Louisiana ; Pelican State ; LA 	 Louisiana 
Vienna ; Austrian capital ; capital of Austria 	 Wina 	 city 
Mussolini ; Benito Mussolini ; Il Duce  Benito Mussolini 	 person 
Buenos Aires ; capital of Argentina 	 Buenos Aires 	 

Oslo ; Christiania ; capital of Norway  Oslo 	 city  Baghdad ; Bagdad ; capital of Iraq 	 Bagdad 	 city  twelve ; 12 ; xii ; dozen  lusin 	 mathematics 
mercury ; quicksilver ; hydrargyrum ; Hg ; atomic number 80 	 air raksa  

cobalt ; Co ; atomic number 27 	 kobalt 	 
Pennsylvania ; Keystone State ; PA 	 Pennsylvania  medicine ; medical specialty 	 kedokteran 
Central African Republic ; Central Africa 	 Afrika Tengah  Oman ; Sultanate of Oman ; Muscat and Oman 	 Oman  kilogram ; kg ; kilo  kilogram  
arithmetic 	 ilmu hitung 	 mathematics  Homer 	 Homerus  spider 	 labah 	 

Beethoven ; van Beethoven ; Ludwig van Beethoven 	 Ludwig van Beethoven  person 
Colorado ; Centennial State ; CO  Colorado 
Taiwan ; China ; Nationalist China ; Republic of China  Taiwan  bus ; autobus ; coach ; charabanc ; double-decker ; jitney ; motorbus ; 
motorcoach ; omnibus ; passenger vehicle  bis  

Sri Lanka ; Democratic Socialist Republic of Sri Lanka ; Ceylon 	 Sri Lanka 
Alexander ; Alexander the Great  Alexander Agung 
Blair ; Tony Blair ; Anthony Charles Lynton Blair  Tony Blair 
flea 	 kutu 	 animal 
devil ; fiend ; demon ; daemon ; daimon  iblis 
guitar 	 gitar 
airport ; airdrome ; aerodrome ; drome  pelabuhan udara ; lapangan terbang 	 

Galileo ; Galileo Galilei  Galileo Galilei  person 
Venice ; Venezia 	 Venesia 
Prague ; Praha ; Prag ; Czech capital  Praha 	 city  Guevara ; Ernesto Guevara ; Che Guevara  Che Guevara 	 person 
electricity ; electrical energy  tenaga listrik  
Istanbul ; Stambul ; Stamboul ; Constantinople 	 Istanbul  city 
duck 	 itik 	 animal 
potassium ; K ; atomic number 19  kalium 	 

Bush ; George Bush ; George W. Bush ; George Walker Bush ; President Bush ; 
President George W. Bush ; Dubyuh ; Dubya 	 George Bush  beach 	 pantai 
Congo ; Republic of the Congo ; French Congo  Republik Kongo  climate ; clime  iklim 	 
Munich ; Muenchen 	 München  city 
iodine ; iodin ; I ; atomic number 53  yodium 	 
Barcelona  Barcelona  city  atheism ; godlessness  ateisme 
lithium ; Li ; atomic number 3 	 litium 	 

Katowice  Katowice 
Washington ; George Washington ; President Washington 	 George Washington 	 person 
castle 	 puri 
Kiribati ; Republic of Kiribati  Kiribati  state 
color ; colour ; coloring ; colouring  warna 	 
theology ; divinity  teologi 
Nauru ; Republic of Nauru  Nauru 	 state 
Papua New Guinea ; Independent State of Papua New Guinea  Papua Nugini  novel 	 novel 
Pythagoras 	 Pythagoras 	 mathematics  boron ; B ; atomic number 5  boron 	 

chromium ; Cr ; atomic number 24  kromium  
Ireland ; Republic of Ireland ; Irish Republic ; Eire 	 Irlandia  state 
Serbia and Montenegro ; Union of Serbia and Montenegro ; Yugoslavia ; Federal 
Republic of Yugoslavia ; Jugoslavija 	 Serbia dan Montenegro  state 
Picasso ; Pablo Picasso 	 Pablo Picasso  person 
Wisconsin ; Badger State ; WI 	 Wisconsin 
San Marino ; capital of San Marino 	 San Marino 	 

Polo ; Marco Polo 	 Marco Polo 	 person  weapon ; arm ; weapon system 	 senjata  pigeon 	 merpati  
wheat 	 gandum 
nickel ; Ni ; atomic number 28 	 nikel 	 
cricket  kriket 
liter ; litre ; l ; cubic decimeter ; cubic decimetre 	 liter 
Barbados  Barbados  Toronto  Toronto  city  protein  protein  genetics 
rodent ; gnawer  hewan pengerat  

United Nations Educational Scientific and Cultural Organization ; UNESCO  
UNESCO 	 

Baltic ; Baltic Sea  Laut Baltik  forest ; wood ; woods  hutan  Firenze ; Florence 	 Firenze 
university 	 universitas 	 

Magellan ; Ferdinand Magellan ; Fernao Magalhaes 	 Fernando de Magelhaens 	 person 
dinosaur  dinosaurus 	 animal 
six ; 6 ; vi ; half dozen ; half-dozen  enam  Ohio ; Buckeye State ; OH  Ohio 
software ; software program ; computer software ; software system ; software package ; package 	 perangkat lunak  IT  Jeddah ; Jed'dah ; Jiddah ; Jidda  jeddah  influenza ; flu ; grippe 	 selesma  disease 
Russia 	 Rusia 
Arizona ; Grand Canyon State ; AZ  Arizona 
Aristotle  Aristoteles 	 mathematics 
Freud ; Sigmund Freud  Sigmund Freud  person 
Mandela ; Nelson Mandela ; Nelson Rolihlahla Mandela 	 Nelson Mandela  bear 	 beruang  
Hindi 	 hindi 	 language 
Easter 	 Paskah 
Sydney 	 Sydney 
Stalin ; Joseph Stalin ; Iosif Vissarionovich Dzhugashvili 	 Josef Stalin 	 person 
technology ; engineering 	 teknologi  

Vanuatu ; Republic of Vanuatu ; New Hebrides  Vanuatu  state 
Wales ; Cymru ; Cambria 	 Wales 
Nobel ; Alfred Nobel ; Alfred Bernhard Nobel  Alfred Nobel 	 person  operating system ; OS  sistem operasi  IT 
Comoros ; Federal Islamic Republic of the Comoros  Komoro 
Curie ; Marie Curie ; Madame Curie ; Marya Sklodowska 	 Marie Curie 	 person 
Viking 	 Viking 
algorithm ; algorithmic rule ; algorithmic program  algoritma  logistics  valley ; vale  lembah  web log ; blog  blog 
leap year ; intercalary year ; 366 days ; bissextile year 	 tahun kabisat  soul ; psyche  jiwa  East Timor 	 Timor Timur  garlic ; ail 	 bawang putih 
Arkansas ; Land of Opportunity ; AR 	 Arkansas  microscope 	 mikroskop  nine ; 9 ; ix  sembilan 
Putin ; Vladimir Putin ; Vladimir Vladimirovich Putin 	 Vladimir Putin  Dublin ; Irish capital ; capital of Ireland  Dublin 	 
neon ; Ne ; atomic number 10 	 neon 	 
molecule  molekul  physics 
Equatorial Guinea ; Republic of Equatorial Guinea ; Spanish Guinea  Guinea 
Khatulistiwa 
swan 	 angsa 	 

waterfall ; falls 	 air terjun  Czechoslovakia  Cekoslowakia 	 state 
Kant ; Immanuel Kant  Immanuel Kant  person 
Helsinki ; Helsingfors ; capital of Finland ; Finnish capital  Helsinki  city 
Antigua and Barbuda  Antigua dan Barbuda 
Tuvalu 	 Tuvalu 	 state 
hay  rumput kering 
chicken ; Gallus gallus 	 ayam 	 animal  lava 	 lahar 
vein ; vena ; venous blood vessel  pembuluh darah 
shoulder  bahu 
bishop 	 uskup 
Nebraska ; Cornhusker State ; NE  Nebraska  rainbow  pelangi 
capitalism ; capitalist economy  kapitalisme 	 economics 
Lincoln ; Abraham Lincoln ; President Lincoln ; President Abraham Lincoln  
Abraham Lincoln  person 
organic 
kimia organik  
beak ; bill ; neb ; nib ; pecker  paruh 	 

Bruxelles ; Brussels ; Belgian capital ; capital of Belgium 	 Brussel  city 
Singapore ; Republic of Singapore  Singapura  tourism ; touristry  pariwisata 
President of the United States ; United States President ; President ; Chief 
Executive  Daftar Presiden AS 
Indiana ; Hoosier State ; IN 	 Indiana 
virus 	 virus 	 medicine 
Turing ; Alan Turing ; Alan Mathison Turing  Alan Turing 	 person  Bavaria  Bayern  fascism  fasisme 
tortoise  kura-kura  animal  Oregon ; Beaver State ; OR  Oregon 
Saturday ; Sabbatum ; Sat  Sabtu 
Illinois ; Prairie State ; Land of Lincoln ; IL 	 Illinois  verb 	 kata kerja 	 linguistics 
Hemingway ; Ernest Hemingway 	 Ernest Hemingway 	 person 
Buddha ; Siddhartha ; Gautama ; Gautama Siddhartha ; Gautama Buddha  Buddha  Trinidad and Tobago ; Republic of Trinidad and Tobago 	 Trinidad dan Tobago  whale 	 ikan paus  
Greek alphabet  Huruf Yunani  flour 	 tepung 
Luther ; Martin Luther 	 Martin Luther  person 
Gates ; Bill Gates ; William Henry Gates 	 Bill Gates 
Afrikaans ; Taal ; South African Dutch  Bahasa Afrikaans 	 language  silicon ; Si ; atomic number 14  silikon  

Roman Catholic ; Western Church ; Roman Catholic Church ; Church of Rome ; Roman Church 	 Gereja Katolik Roma 
hypertext markup language ; hypertext mark-up language ; HTML  hypertext markup language 
corn ; maize ; Indian corn ; Zea mays  jagung  alcohol  alkohol  

Budapest ; Hungarian capital ; capital of Hungary  Budapest  city  plum 	 prem 
tsunami  tsunami 
Olympic Games ; Olympics ; Olympiad 	 Olimpiade 
parrot 	 nuri 	 ornitology 
galaxy ; extragalactic nebula 	 galaksi  astronomy 
Sicily ; Sicilia 	 Sisilia 
Catalonia  Catalunya 
century  abad 	 time 
argon ; Ar ; atomic number 18 	 argon 	 
van Gogh ; Vincent van Gogh ; Gogh 	 vincent van gogh 	 person  socialism ; socialist economy 	 sosialisme  Cyrillic alphabet ; Cyrillic 	 Aksara Sirilik 
Archimedes 	 Archimedes 	 mathematics  Black Sea ; Euxine Sea 	 Laut Hitam 
domestic ass ; donkey ; Equus asinus 	 keledai  animal 
Churchill ; Winston Churchill ; Winston S. Churchill ; Sir Winston Leonard 
Spenser Churchill 	 Winston Churchill 	 person 
penis ; phallus ; member 	 penis 	 biology 
mirror 	 cermin 
Rousseau ; Jean-Jacques Rousseau  Jean-Jacques Rousseau  person  illness ; unwellness ; malady ; sickness 	 penyakit  biology  alloy ; metal  aloy 	 

God ; Supreme Being  Tuhan 
Vermont ; Green Mountain State ; VT 	 Vermont  monarchy  monarki 
vitamin  vitamin  biology 
Wyoming ; Equality State ; WY 	 Wyoming  drum ; membranophone ; tympan 	 genderang 
Chinese Wall ; Great Wall ; Great Wall of China 	 Tembok Raksasa Cina  astrology ; star divination  ilmu perbintangan 
Sahara ; Sahara Desert 	 Gurun Sahara  Grenada  Grenada  state  photosynthesis  fotosintesis 	 

beryllium ; Be ; glucinium ; atomic number 4  berilium  

Everest ; Mount Everest ; Mt. Everest  Gunung Everest  onion ; onion 
; Allium cepa  bawang 	 
Mohammed ; Mohammad ; Muhammad ; Mahomet ; Mahound  Muhammad  humanistic discipline ; humanities ; liberal arts ; arts  humaniora  Danube ; Danube River ; Danau 	 Donau 
magnesium ; Mg ; atomic number 12  magnesium  
Alps ; the Alps  Alpen 
chemical element ; element  unsur 	 
neutron  neutron 
Himalayas ; Himalaya Mountains ; Himalaya 	 Pegunungan Himalaya 
Hussein ; Husain ; Husayn ; Saddam Hussein ; Saddam ; Saddam bin Hussein at-
Takriti 	 Saddam Hussein  ion  ion  
peninsula  semenanjung  asteroid  asteroid  archipelago 	 kepulauan 
Nevada ; Silver State ; Battle Born State ; Sagebrush State ; NV 	 Nevada  police ; police force ; constabulary ; law 	 kepolisian 	 law  louse ; sucking louse  kutu 	 animal  astronaut ; spaceman ; cosmonaut  antariksawan  inflation ; rising prices  inflasi  
turkey ; Meleagris gallopavo 	 kalkun 	 
dragon ; firedrake 	 naga  dollar 	 dolar 	 money 
Edison ; Thomas Edison ; Thomas Alva Edison  Thomas Alva Edison 	 person 
Systeme International d'Unites ; Systeme International ; SI system ; SI ; SI unit ; International System of Units ; International System 	 Sistem Internasional 
Satuan 
cadmium ; Cd ; atomic number 48  kadmium  
Canary Islands ; Canaries  Kepulauan Canary  sodium ; Na ; atomic number 11 	 sodium 	 
Google 	 Google  methane  metana 	 

owl ; bird of Minerva ; bird of night ; hooter 	 burung hantu 	 
browser ; web browser  penjelajah web  logistics 
execution ; executing ; capital punishment ; death penalty 	 eksekusi 
Eiffel Tower 	 Menara Eiffel 
Copenhagen ; Kobenhavn ; Danish capital  Kopenhagen 	 city  aircraft  pesawat terbang  

Kansas ; Sunflower State ; KS 	 Kansas 
Milan ; Milano  Milan 
Michigan ; Wolverine State ; Great Lakes State ; MI  Michigan  cattle ; cows ; kine ; oxen ; Bos taurus 	 lembu 	 animal 
volt ; V  volt 	 
Greek mythology  Mitologi Yunani 
surname ; family name ; cognomen ; last name  nama keluarga  tool 	 alat 	 
Rio de Janeiro ; Rio  Rio de Janeiro  city  equator  khatulistiwa 
natural number  bilangan asli  mathematics  vampire ; lamia  vampir 
electronic mail ; e-mail ; email  surat elektronik 	 logistics  fundamental law ; organic law ; constitution  konstitusi  breast ; bosom ; knocker ; boob ; tit ; titty  dada 
China ; People's Republic of China ; mainland China ; Communist China ; Red China 
; PRC ; Cathay  Tiongkok Daratan 
nightingale ; Luscinia megarhynchos 	 burung bulbul  

New Mexico ; Land of Enchantment ; NM  New Mexico 
Utah ; Beehive State ; Mormon State ; UT 	 Utah 	 state  violence ; force 	 kekerasan 
health ; wellness 	 kesehatan  
arsenic ; As ; atomic number 33  arsen 	 

flood ; inundation ; deluge ; alluvion  air bah 
mosque 	 mesjid 	 architecture  black hole 	 lubang hitam  chair 	 kursi 
New Jersey ; Jersey ; Garden State ; NJ  New Jersey  unemployment 	 pengangguran 	 economics  Idaho ; Gem State ; ID 	 Idaho  Oklahoma ; Sooner State ; OK 	 Oklahoma 
cancer ; malignant neoplastic disease  kanker 	 medicine  kangaroo  kangguru  

calendar  kalender ; almanak ; takwim  
Minnesota ; Gopher State ; North Star State ; MN 	 Minnesota  Chomsky ; Noam Chomsky ; A. Noam Chomsky 	 Noam Chomsky 
cave 	 gua 
light year ; light-year 	 tahun cahaya 	 astronomy  Tallinn ; Tallin ; capital of Estonia  Tallinn  
life 	 kehidupan  biology 
Hippocrates 	 Hippokrates  Northern Ireland 	 Irlandia Utara  tornado ; twister 	 tornado  Mumbai ; Bombay  Mumbai 	 city 
Taj Mahal  Tāj Mahal 
Montana ; Treasure State ; MT 	 Montana 
San Francisco  San Francisco 
Connecticut ; Nutmeg State ; Constitution State ; CT 	 Connecticut  teacher ; instructor  guru 	 
Arafat ; Yasser Arafat 	 Yasser Arafat  person 
Maryland ; Old Line State ; Free State ; MD  Maryland  Cold War  Perang Dingin  thermodynamics  termodinamika 
Zeus 	 Zeus 	 mythology 
Amazon ; Amazon River  Sungai Amazon 
trigonometry ; trig  trigonometri 	 mathematics 
Athena ; Athene ; Pallas ; Pallas Athena ; Pallas Athene  Dewi Athena 	 mythology 
Gibraltar ; Rock of Gibraltar ; Calpe  Gibraltar  million ; 1000000 ; one thousand thousand ; meg 	 satu juta  optics 	 optik 
Tonga ; Kingdom of Tonga ; Friendly Islands  Tonga  constellation  konstelasi 
World Wide Web ; WWW ; web  WWW  logistics 
New Hampshire ; Granite State ; NH 	 New Hampshire  Camus ; Albert Camus  Albert Camus 	 person  diary ; journal  buku harian 	 accounting  ellipse ; oval  elips 	 

gasoline ; gasolene ; gas ; petrol 	 bensin 	 

Dante ; Dante Alighieri 	 Dante Alighieri  person 
Orwell ; George Orwell ; Eric Blair ; Eric Arthur Blair  George Orwell  person 
Renaissance ; Renascence 	 Abad Renaisans  shadow 	 bayang-bayang  Socrates  Socrates 
matter  materi  
microbiology  mikrobiologi  biology  goose  angsa  animal 
Serbia ; Srbija  Serbia  compass  kompas 
equation  persamaan  

Jakarta ; Djakarta ; capital of Indonesia 	 Daerah Khusus Ibukota Jakarta 	 city 
Turin ; Torino  Torino 	 city  cucumber ; cuke  ketimun  
parliament 	 parlemen  ax ; axe  kapak 
Delaware ; Diamond State ; First State ; DE  Delaware  bean ; edible bean 	 kacang 	 

Gutenberg ; Johann Gutenberg ; Johannes Gutenberg  Johann Gutenberg 	 person 
mosquito  nyamuk 	 animal 
Virginia ; Old Dominion ; Old Dominion State ; VA  Virginia  king ; male monarch ; Rex  raja 	 
selenium ; Se ; atomic number 34  selenium  
hyena ; hyaena  hyena 	 

family ; 
hold ; 
; home ; menage 	 keluarga  
isotope  isotop 	 
capital  ibu kota  
population 	 penduduk  

bromine ; Br ; atomic number 35  brom 	 
Aruba 	 Aruba 
computer science ; computing 	 ilmu komputer  Hamburg  Hamburg  city 
evening ; eve ; even ; eventide  sore 	 
alga ; algae 	 alga 
Puerto Rico ; Porto Rico ; Commonwealth of Puerto Rico ; PR 	 Puerto Riko 
National Aeronautics and Space Administration ; NASA 	 NASA 
Aphrodite ; Cytherea  Aphrodite 
Presley ; Elvis Presley ; Elvis Aron Presley  Elvis Presley  person 
Manila ; capital of the Philippines 	 Manila 	 

Balkan Peninsula ; Balkans  Balkan  fashion  mode 
rope 	 tambang  

Samoa ; Independent State of Samoa ; Western Samoa ; Samoa i Sisifo  Samoa  currency  mata uang  
lamb 	 daging domba 
uranium ; U ; atomic number 92 	 uranium  

East Germany ; German Democratic Republic 	 Jerman Timur  Leipzig  Leipzig  city 
radium ; Ra ; atomic number 88 	 radium 	 

Bratislava ; capital of Slovakia ; Pressburg ; Pozsony  Bratislava 	 city 
Stuttgart  Stuttgart  city 
Edinburgh  Edinburgh 
Euler ; Leonhard Euler 	 Leonhard Euler  person  eat  makan 	 

Western Sahara ; Spanish Sahara  Sahara Barat 
Faroe Islands ; Faeroe Islands ; Faroes ; Faeroes  Kepulauan Faroe 
Shanghai  Shanghai  city  adjective  adjektiva  linguistics 
Marseille ; Marseilles 	 Marseille  city 
The Hague ; 's Gravenhage ; Den Haag 	 den haag 
Bismarck ; von Bismarck ; Otto von Bismarck ; Prince Otto von Bismarck ; Prince Otto Eduard Leopold von Bismarck ; Iron Chancellor  Otto von Bismarck 	 person 
leopard ; Panthera pardus  macan tutul 	 
Eurasia  Eurasia  opera ; opera 
opera 
density ; denseness  kepadatan  

Caribbean ; Caribbean Sea  Karibia 
Gorbachev ; Mikhail Gorbachev ; Mikhail Sergeyevich Gorbachev  Mikhail Gorbachev 
gene ; cistron ; factor 	 gen  genetics 
barley ; barleycorn  jelai 
Reagan ; Ronald Reagan ; Ronald Wilson Reagan ; President Reagan 	 Ronald 
Reagan 	 person 
Caspian ; Caspian Sea  Laut Kaspia 
Pascal ; Blaise Pascal 	 Blaise Pascal  person  age  usia 	 

titanium ; Ti ; atomic number 22  titanium  

Teheran ; Tehran ; capital of Iran ; Iranian capital 	 Teheran  city  fog ; fogginess ; murk ; murkiness 	 kabut  lizard 	 kadal 	 

Wagner ; Richard Wagner ; Wilhelm Richard Wagner 	 Richard Wagner  person 
Mao ; Mao Zedong ; Mao Tsetung 	 Mao Zedong 	 person  ivory ; tusk 	 gading ; danta 
independence ; independency  kemerdekaan 	 finance  tent ; collapsible shelter  tenda  security  keamanan  

dictatorship ; absolutism ; authoritarianism ; Caesarism ; despotism ; monocracy 
; one-man rule ; shogunate ; Stalinism ; totalitarianism ; tyranny 	 kediktatoran 
database  basis data 	 

stork 	 bangau 	 

biography ; life ; life story ; life history  biografi  

tuberculosis ; TB ; T.B. 	 tbc  medicine 
St. Petersburg ; Leningrad ; Peterburg ; Petrograd ; Saint Petersburg 	 St. 
Petersburg  city 
telescope ; scope 	 teropong  astrophysics 	 astrofisika 
Vilnius ; Vilna ; Vilno ; Wilno ; capital of Lithuania  Vilnius  city  strawberry 	 buah arbei 
South Dakota ; Coyote State ; Mount Rushmore State ; SD  Dakota Selatan  oak ; oak tree  ek  tree 
Andes 	 Andes 
Genghis Khan ; Jinghis Khan ; Jenghiz Khan ; Temujin 	 Jenghis Khan 	 
person 
globalization ; globalisation 	 kesejagatan 	 

Iowa ; Hawkeye State ; IA  Iowa 
Joyce ; James Joyce ; James Augustine Aloysius Joyce 	 James Joyce 	 person 
ammonia  amoniak  
enzyme  enzim  genetics 
computer ; computing machine ; computing device ; data processor ; electronic computer ; information processing system  komputer  
shark 	 ikan hiu  animal 
Bucharest ; Bucharesti ; Bucuresti ; capital of Romania  Bukares  city  museum 	 museum  vegetable  sayuran  herb 
bin Laden ; Osama bin Laden ; Usama bin Laden  Usamah bin Ladin 
Middle Ages ; Dark Ages 	 Abad Pertengahan  rose ; rosebush  mawar 	 shrub 
cheetah ; chetah ; Acinonyx jubatus 	 cheetah  
five ; 5 ; v 	 lima 
Michelangelo ; Michelangelo Buonarroti  Michelangelo Buonarroti 	 person  eclipse ; occultation  gerhana  astronomy  phonetics  fonetik 
Dresden  Dresden  city 
Sofia ; Serdica ; Bulgarian capital 	 Sofia 	 city 
Cook ; James Cook ; Captain Cook ; Captain James Cook 	 James Cook 	 person 
International Monetary Fund ; IMF  Dana Moneter Internasional  economics  sunflower ; helianthus 	 bunga matahari  

Linnaeus ; Carolus Linnaeus ; Carl von Linne ; Karl Linne 	 Carolus Linnaeus  person 
Palau ; Republic of Palau ; TT 	 Palau 	 state 	
battle ; conflict ; fight ; engagement  pertempuran  beaver 	 berang-berang  


Kabul ; capital of Afghanistan 	 Kabul, Afganistan 	 city 
beard ; face fungus ; whiskers 	 janggut  tobacco ; baccy  tembakau 
anchor ; ground tackle 	 jangkar  technology  bamboo 	 bambu ; buluh 
Seoul ; capital of South Korea 	 Seoul 	 
juice 	 sari buah  Ido  Bahasa Ido 	 language 
body ; organic structure ; physical structure  korps 	 biology  skyscraper 	 pencakar langit 
Korea ; Korean Peninsula ; Dae-Han-Min-Gook ; Han-Gook  Korea  hotel 	 hotel 	 

Melbourne  Melbourne 
Smith ; Adam Smith 	 Adam Smith 	 person  conflict ; struggle ; battle 	 pertempuran  dune ; sand dune 	 bukit pasir  moss 	 lumut 
Clinton ; Bill Clinton ; William Jefferson Clinton ; President Clinton 	 Bill Clinton 
Rhode Island ; Little Rhody ; Ocean State ; RI 	 Rhode Island 
South Carolina ; Palmetto State ; SC 	 South Carolina 
Guam ; GU  Guam 
hare 	 terwelu  

Kepler ; Johannes Kepler ; Johan Kepler  Johannes Kepler  person  sorcerer ; magician ; wizard ; necromancer ; thaumaturge ; thaumaturgist  tukang sulap 
West Virginia ; Mountain State ; WV 	 Virginia Barat 
month 	 bulan 	 

palace ; castle  istana  cathedral  katedral 
sarcasm ; irony ; satire ; caustic remark 	 satir  party ; political party 	 partai  dialect ; idiom ; accent 	 aksen 
Aquinas ; Thomas Aquinas ; Saint Thomas ; St. Thomas ; Saint Thomas Aquinas ; St. Thomas Aquinas  Thomas Aquinas  person  gift 	 hadiah 
Maine ; Pine Tree State ; ME 	 Maine 
Jefferson ; Thomas Jefferson ; President Jefferson  Thomas Jefferson 	 person 
Kentucky ; Bluegrass State ; KY  Kentucky 
Geneva ; Geneve ; Genf 	 Jenewa 
Dostoyevsky ; Dostoevski ; Dostoevsky ; Feodor Dostoyevsky ; Fyodor Dostoyevsky ; 
Feodor Dostoevski ; Fyodor Dostoevski ; Feodor Dostoevsky ; Fyodor Dostoevsky ; 
